2022-05-19 13:05:485 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (f9a8d3912e115806b9f45f87a968d069)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:760 INFO  NewAndUsedCarPage :43 - Select car makes :Nissan
2022-05-19 13:05:864 INFO  NewAndUsedCarPage :48 - Select car models :X-TRAIL
2022-05-19 13:05:943 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:840 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (fe1dde881aad518ee2db136d90154314)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:757 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (fe1dde881aad518ee2db136d90154314)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:778 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (fe1dde881aad518ee2db136d90154314)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:894 INFO  NewAndUsedCarPage :43 - Select car makes :Jaguar
2022-05-19 13:05:169 INFO  NewAndUsedCarPage :48 - Select car models :X Type
2022-05-19 13:05:277 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Hunter
2022-05-19 13:05:376 INFO  NewAndUsedCarPage :59 - Select car price :$60,000
2022-05-19 13:05:352 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (fe1dde881aad518ee2db136d90154314)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:387 INFO  ResultPage :21 - Get result text :JAGUAR
2022-05-19 13:05:367 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:29 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (ae6d0ef1e2d02b0d6c1f095417f435ce)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:984 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (ae6d0ef1e2d02b0d6c1f095417f435ce)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:13 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (ae6d0ef1e2d02b0d6c1f095417f435ce)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:262 INFO  NewAndUsedCarPage :43 - Select car makes :Mini
